00:02:38.751  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030482, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602720158750, id=0fa758ff-0202-dadc-1316-87c796a2ed18, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
01:28:29.625  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030514, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602725309625, id=74c828ab-c14e-6cdb-9e8f-eb570b34bf61, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
01:33:39.199  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030515, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602725619199, id=9515f041-8bda-26e2-c89a-f518cbe9add8, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
01:40:38.577  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030516, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602726038577, id=e3de02d3-7850-8e39-06fe-fa8bce9ac17b, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
01:47:15.605  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030517, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602726435605, id=9e82262a-41eb-c557-c3b6-19cd1c5a3667, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
01:52:41.501  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030518, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602726761501, id=660d5b25-8648-c098-0efd-fa0e58a0a3be, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
01:57:27.706  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030519, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602727047706, id=2d46e1e0-110d-2525-95b3-898a25137226, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
02:01:45.510  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030520, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602727305509, id=22774904-6876-f965-9329-be22cc83c3a1, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
02:07:32.806  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030521, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602727652806, id=767cb4c8-6565-27ed-769e-950545e04f3e, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
02:14:36.865  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030522, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602728076865, id=0a85c914-05a8-f1cc-8650-ef95d09922fd, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
02:21:26.332  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030523, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602728486332, id=89d1fc11-764e-c170-ba99-6b1df836120b, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
02:28:20.489  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030525, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602728900488, id=e667eea1-2c18-2960-eaf9-f9f9fd022444, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
03:07:05.052  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030529, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602731225052, id=fe54e956-f4ec-d77c-c248-993ee28253ca, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
03:12:28.069  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030531, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602731548069, id=b87ebdea-6162-d11a-7a70-2f9df53783b2, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
03:19:01.765  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030535, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602731941765, id=21a1bd9c-fbb2-f3c0-9219-b386c6dc643a, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
03:29:47.228  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030539, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602732587227, id=7bfec5c9-e138-321f-22ae-0708f0b26317, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
03:35:46.184  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030544, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602732946184, id=199994aa-4eee-7676-8e5d-80cbc73baccd, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
03:43:03.761  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030548, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602733383761, id=c464a5ff-ce5f-5ae0-0690-8fddd7851ce7, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
04:09:48.862  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030552, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602734988861, id=bfb16740-f8eb-84c6-bf02-c829bf964464, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
04:34:54.599  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617030558, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602736494599, id=1d1ce393-55fa-ee7f-b840-776ce9233c1e, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
05:04:56.162  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617046461, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602738296162, id=17baff58-c69c-539d-29b5-363d035825f2, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
05:07:57.165  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0000000000, rotation=9], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602738477165, id=10da4563-7868-dd34-a27d-98f54005f81d, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
05:13:12.081  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617046463, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602738792081, id=22c02a29-6724-ac38-45ac-e964481625d7, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
05:34:44.345  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617046468, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602740084344, id=044b2e1d-817e-905f-1c68-33da5b2961a6, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
05:49:00.399  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617046470, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602740940399, id=2d5d8fcf-832c-4851-034a-4ac4bac272ee, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
05:52:31.803  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617046473, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602741151803, id=107ed786-10a2-b77c-67a2-31bf4432e325, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
05:57:54.520  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617046475, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602741474519, id=c1376309-b24d-10c5-c620-380d2a07ead9, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
06:12:04.864  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617046477, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602742324864, id=3e85b2bc-963f-8a46-baa7-7a3f188c5795, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
06:18:59.383  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617046482, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602742739383, id=2ffaf603-7f9c-3a4d-7944-742967b3fa1f, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
06:22:02.416  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617046483, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602742922416, id=c753c7bb-ae9d-692d-d852-dff7f07a0ed7, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
06:36:10.022  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617046485, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602743770022, id=6fe66270-72d3-369d-4fa9-67934978b083, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
06:39:13.715  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617046486, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602743953715, id=b0508413-6387-1c29-79bd-ebf56aee0947, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
06:42:36.058  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617046487, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602744156058, id=6e003dbd-7064-cdce-9aac-8cb4157d9ac5, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
06:46:45.304  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617046488, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602744405303, id=f2bd0d9a-8bf7-804f-dfcf-4c4c3de087dd, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
07:16:25.185  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617046491, rotation=2], endPlate=Plate [dataMatrix=0000000000, rotation=9]]][Headers={timestamp=1602746185185, id=5fb37a17-7813-8389-43e4-cf9cc0d0c98c, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
07:21:21.231  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0617046492, rotation=2], endPlate=Plate [dataMatrix=0000000001, rotation=9]]][Headers={timestamp=1602746481231, id=382e8a3b-83dd-9f97-01c4-678e33f9860e, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
08:24:03.568  INFO [camera-channel] [Payload=CameraInputstream [frontPlate=Plate [dataMatrix=0000000010, rotation=9], endPlate=Plate [dataMatrix=0000000000, rotation=1]]][Headers={timestamp=1602750243568, id=3ad63253-5f96-33c0-fe96-50449fe0ea60, ip_tcp_remotePort=8500, ip_address=10.128.135.249, ip_hostname=xgcamera, ip_connectionId=xgcamera:8500:45416:71edef39-8e55-4344-9ff5-dd737a3b4747}]
